Videocard Name,Passmark G3D Mark
Quadro K3000M,1647
Radeon RX Vega 10,1645
Radeon Ryzen 9 7950X3D 16-Core,1644
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,1642
Radeon RX Vega 11 Ryzen 5 3350G,1642
Radeon HD 8870M,1638
Radeon Vega 10 Ryzen 7 PRO 3700U w/,1634
FirePro M4000 Mobility Pro,1628
Intel Iris Pro P6300,1625
Quadro P500,1625
Intel UHD Graphics 730,1623
Radeon R7 M465X,1623
Quadro P400,1622
Radeon Vega 8 Ryzen 3 PRO 3200GE w/,1622
GeForce GTX 480M,1617
Ryzen 7 2700U with Radeon Vega,1617
Radeon HD 6790,1616
FirePro M4000,1612
Radeon Ryzen 5 PRO 7645 6-Core,1608
Radeon RX Vega11,1605
Seria Radeon HD 7700,1603
Ryzen 3 PRO 5450U with Radeon Graphics,1601
Radeon Vega 9,1590
Intel Iris Plus 650,1586
Radeon Vega 8,1584
Radeon Ryzen 3 5425U,1579
Quadro K2000D,1577
Quadro K2000,1575
Ryzen 3 5400U with Radeon Graphics,1575
Radeon R9 M275X / M375,1574
Radeon Ryzen 3 5300U,1574
Radeon Athlon Gold PRO 4150GE,1573
GeForce GTX 555,1571
Radeon Vega 10,1563
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1556
Radeon HD 7560D + HD 6670 Dual,1554
Ryzen 3 PRO 4450U with Radeon Graphics,1554
Radeon HD 8470D + HD 7500 Dual,1545
Ryzen 3 5300U with Radeon Graphics,1545
Radeon Vega 6 Ryzen 3 3350U,1544
Ryzen 3 PRO 4300U with Radeon Graphics,1542
GeForce GTX 550 Ti,1541
Radeon Ryzen 7 PRO 7745 8-Core,1539
FirePro V8700,1538
Radeon R9 M275X,1537
Radeon R9 M370X,1532
Radeon Ryzen 3 7330U,1530
FirePro W4100,1528
Radeon Ryzen Embedded V2516,1527
Radeon HD 4890,1526
Radeon RX Vega 10 Ryzen 7 3700U,1524
GeForce GTX 285,1515
GeForce 940MX,1512
Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,1512
Radeon HD 7870M,1507
GeForce 845M,1506
Ryzen 5 2500U with Radeon Vega,1503
Radeon HD 6670 + 7660D Dual,1492
GeForce GT 740,1490
Radeon Vega 10 Mobile,1490
Radeon RX Vega 8,1487
Radeon HD 7660D + HD 6670 Dual,1484
Radeon Ryzen Embedded R2514,1482
Radeon R9 M365X,1481
Intel UHD Graphics,1479
Quadro 4000,1478
Radeon R7 FX-9830P RADEON,1471
Radeon 550X,1468
Intel Iris Pro Graphics 6200,1461
Radeon R9 255,1456
Radeon Vega 8 Ryzen 5 PRO 3500U w/,1455
GeForce MX110,1449
Ryzen 5 PRO 4400GE with Radeon Graphics,1441
Radeon Eng Sample: 100-000000085-40_35/24_Y,1440
GeForce GTX 660M,1435
Radeon HD 8470D + HD 6670 Dual,1435
Radeon Ryzen 7 3700U,1433
Intel Iris 650,1432
Radeon Ryzen 3 PRO 4355GE,1431
Ryzen 3 PRO 5475U with Radeon Graphics,1431
Intel Iris 550,1430
Radeon HD 7560D + 7670 Dual,1426
GeForce GTX 275,1422
Radeon Vega 8 Mobile,1418
Radeon R7 M370,1417
FirePro W5130M,1409
Radeon Pro WX 4170,1409
Radeon Vega 6 Ryzen 3 PRO 3300U w/,1403
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1398
Radeon Vega 8 Ryzen 5 3500U,1397
Radeon 610M Ryzen 9 7945HX,1391
Radeon 540X,1390
Radeon HD 7560D + HD 7670 Dual,1380
Radeon HD 7850M,1372
Radeon HD 4870,1368
FirePro M40003,1364
Quadro K2100M,1361
Radeon HD 8670D + 6670 Dual,1361
Radeon 540,1358
Ryzen 3 4300U with Radeon Graphics,1349
Radeon HD 7560D + HD 7700 Dual,1346
Intel Iris Plus 640,1344
FireStream 9270,1341
Radeon HD 5770,1341
Quadro 4000M,1328
GeForce GT 750M,1324
GeForce GTS 450,1322
Radeon HD 8670D + HD 7600 Dual,1317
FirePro M5950,1314
Radeon Vega 6,1313
Radeon HD 4870 X2,1309
Radeon R7 PRO A8-8670E,1309
Radeon HD 8790M,1305
Tesla M2070-Q,1305
GeForce GTX 280,1299
Radeon Vega 6 Ryzen 3 3300U,1299
TENSOR 1.0 Driver Intel HD 630,1299
GeForce 930MX,1295
Radeon Vega 9 Ryzen 5 3550H,1287
Radeon R7 A370,1281
FirePro 3D V8750,1271
Radeon 630,1271
FirePro V5900,1269
GeForce 930A,1267
Radeon HD 8570D + HD 6670 Dual,1260
Radeon HD 7560D + HD 7600 Dual,1258
Intel Iris 540,1255
Radeon HD 6770,1247
Intel UHD Graphics 630,1245
Radeon Vega 8 Ryzen 5 3450U,1240
Quadro 2000 D,1239
Radeon HD 8570D + 6570 Dual,1239
Radeon HD 7660D + 6670 Dual,1238
Radeon HD 7560D + HD 6570 Dual,1237
GeForce GTX 460M,1236
Radeon R7 + R5 340 Dual,1234
Radeon R7 + R7 250 Dual,1232
FirePro 3D V5800,1231
GeForce GT 745A,1228
GeForce GTX 260,1226
GeForce GTX 760A,1226
Quadro FX 5800,1223
GeForce GTX 560M,1221
Radeon HD 8670D + HD 6670 Dual,1221
Radeon HD 8790M / R9 M290X,1210
GeForce GT 650M,1209
FirePro 3D V8700,1206
N16P-GX,1204
Radeon HD 7660D + 7540D Dual,1204
Radeon R9 M270X,1204
Radeon HD 7730,1198
GeForce GPU,1194
Radeon HD 7750M,1191
GeForce GTX 295,1190
Radeon R7 +8G,1190
Intel Iris Pro 5200,1189
RadeonT 610M,1187
Intel HD P630,1184
GeForce 840A,1179
Firepro W4190M,1178
GeForce GT 640,1178
FirePro V5800,1175
Quadro M500M,1173
Radeon R7 Opteron X3421,1168
FireStream 9250,1164
NVS 810,1163
Radeon HD 5750,1162
Barco MXRT 5400,1161
Intel Coffee Lake UHD,1158
Radeon R7 M465,1157
Intel HD P530,1155
Quadro K620M,1152
Radeon HD 8850M / R9 M265X,1139
GeForce 830A,1138
Radeon HD 4850 X2,1132
Radeon HD 7560D + 6670 Dual,1130
Radeon HD 8650G + 7700M Dual,1126
Radeon R7 430,1126
Radeon R9 M265X,1126
GeForce 940M,1122
Radeon HD 7660D + 7500 Dual,1121
FirePro M4170,1119
Radeon 610M,1119
Radeon R7 A12-9800 RADEON,1118
Radeon R9 M275,1114
Radeon R7 A10-7870K,1111
Radeon R7 A10-9700E RADEON,1108
Intel HD 630,1107
GeForce 940A,1106
GeForce GT 545,1100
Quadro 2100M,1100
Radeon HD 7660D + 6570 Dual,1100
GeForce GT 745M,1096
Radeon R5 PRO A6-9500 2C+6G,1096
Mobility Radeon HD 5870,1093
GeForce GTX 850M - MODDED,1091
Quadro K1100M,1087
Radeon R7 M460,1087
GeForce 840M,1085
MIRRORV3,1080
Radeon 625,1080
Barco MXRT 5450,1079
GeForce 920MX,1079
Intel UHD Graphics 710,1079
Radeon R7 250,1078
Radeon R7 + R7 200 Dual,1077
Radeon R7 M350,1077
Radeon 535,1071
Radeon HD 8450G + 8600/8700M Dual,1070
FirePro W4170M,1067
Radeon HD 7660D + 7670 Dual,1061
Radeon HD 7520G + 7700M Dual,1060
Firepro M4100,1059
OPAL XT/GL,1053
Radeon HD 7670A,1050
GeForce GTX 850A,1049
Radeon HD 6750,1047
Radeon R7 A12-9730P RADEON,1047
Radeon R7 + R7 240 Dual,1045
Radeon Vega 3 Athlon 300GE,1044
Intel UHD Graphics 620,1043
Radeon HD 8570D + 6670 Dual,1039
Radeon HD 8570D + HD 8570 Dual,1032
Radeon Ryzen 5 3450U,1032
Radeon HD 8600/8700M,1029
Radeon R7 + R5 330 Dual,1028
Radeon R7 340,1027
Radeon Vega 3 Mobile,1025
Radeon Vega 3 Athlon 3000G,1023
Radeon HD 8670D + R7 240 Dual,1020
Quadro 3000M,1018
Radeon HD 6700M,1016
Quadro K2000M,1014
Radeon R5 A6-9500E 2C+4G,1014
GeForce 930M,1012
Radeon 530,1010
GeForce 830M,1009
Radeon HD 7690M XT,1009
Radeon R7 M260X,1008
Radeon HD 7690M,1003
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002
Radeon HD 7660G + HD 7500M/7600M Dual,999
Radeon HD 8570D + R7 200 Dual,999
Radeon HD 7640G + HD 8750M Dual,996
Intel HD 530,995
Radeon R7 A265,993
Quadro FX 4800,991
FirePro V4900,987
Radeon HD 7560D + 7570 Dual,985
Radeon HD 8690M,984
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",984
Qualcomm Adreno 690 GPU,982
Radeon HD 7560D + 7560D Dual,982
Radeon HD 8750M,977
Radeon R5 A10-9630P 4C+6G,977
Radeon R7 A10-7850K,976
Quadro 2000D,974
Radeon HD 8670D + 8570 Dual,974
Radeon HD 8850M,973
Radeon R7 PRO A10-9700E,971
Radeon R6 A10-9600P 4C+6G,970
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966
Radeon HD 6770M,964
Radeon HD 8570D + R7 240 Dual,963
Radeon R7 PRO A12-9800E,957
Radeon R9 M375,957
Radeon R6 Opteron X3418,955
Radeon HD 8570,952
Radeon HD 8570 + HD 7660D Dual,949
Radeon HD 8670D + R7 200 Dual,949
Quadro CX,947
Quadro 2000,946
Radeon HD 6670/7670,945
Radeon HD 7640G + 7690M Dual,945
Radeon R7 PRO A10-8850B,945
Radeon R7 M445,943
Radeon HD 7660D + R7 240 Dual,941
Radeon HD 6750M,937
Radeon R5 430,937
Radeon HD 7560D + HD 8570 Dual,935
Radeon R5 340,935
Radeon HD 4850,934
Radeon R7 PRO A12-8870E,932
Radeon HD 7660G + 7730M Dual,931
Radeon R7 240 + HD 8670D Dual,930
FirePro M4150,928
Radeon R7 A10-9700 RADEON,928
Intel HD Graphics 620,927
GeForce GT 645M,925
Intel Iris Pro 6100,925
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",925
GeForce GT 640M,921
Radeon R7 A10-7860K,921
Radeon R7 240 + HD 8570D Dual,917
Radeon R7 A12-9800E RADEON,913
GRID K220Q,912
Radeon R7 A8-8650,912
GRID M6-0B,911
Radeon 6750M,911
Radeon R7 A8-7500,907
Intel Iris 6100,906
Radeon R7 PRO A12-8870,904
Radeon R7 M440,903
Radeon HD 8550G + 7600M Dual,901
Barco MXRT 2600,900
Barco MXRT 7400,900
Radeon R7 PRO A10-8770,899
Radeon 620,897
Radeon R7 + R5 Dual,897
Radeon HD 4770,894
Radeon R7 240,894
Radeon R7 PRO A8-9600,893
7900 MOD - Radeon HD 6550D,892
Intel UHD Graphics 617,892
Qualcomm Adreno 685 GPU,892
Radeon Vega 3,891
FirePro W2100,886
Radeon R7 + R5 435 Dual A10-9700 RADEON,885
Radeon HD 8650G + 7670M Dual,883
Radeon R7 A10 PRO-7850B,882
Radeon HD 7660G + HD 7730M Dual,881
Radeon R7 PRO A12-9800,877
Radeon Vega 3 Athlon 300U,877
Radeon E6760,876
Intel HD 520,870
Radeon R7 G,869
Radeon HD 8570D + HD 6570 Dual,868
Mobility Radeon HD 4850,866
Radeon HD 8470D + HD 6450 Dual,862
Intel HD 6000,860
Radeon 520,859
Radeon Vega 3 Athlon Silver 3050U,855
Radeon HD 8550G + HD 7600M Dual,854
FirePro 3D V4800,853
Radeon R5 A6-9500 2C+6G,853
Radeon R7 A8-7500 4C+6G,853
Radeon Vega 3 Ryzen 3 3200U,853
Radeon HD 8500M/8700M,852
Radeon R7 A10-7890K,850
Radeon R7 A10-8750,849
Radeon R7 A8-7670K,848
Radeon R5 PRO A6-8570 2C+6G,847
GeForce 920A,846
Radeon R7 A10 PRO-7800B,843
Radeon R5 435,840
Radeon R7 FX-8800P,840
FireGL V8600,838
Radeon HD 8470D + 6570 Dual,837
Radeon Vega 3 Athlon PRO 300GE w/,837
Radeon HD 8670D + R5 235 Dual,836
Radeon HD 4830,835
Radeon HD 6650A,835
GeForce GT 635,833
Radeon HD 7560D + 6570 Dual,833
Radeon HD 7520G + HD 7500/7600 Dual,832
GeForce GT 730,831
Radeon HD 7660G + 7600M Dual,831
Radeon HD 8650G + 8600/8700M Dual,831
Intel HD 5200,830
Radeon Vega 3 Ryzen 3 3250U,829
Radeon R7 A8-9600 RADEON,828
GRID M60-0Q,827
Radeon R7 PRO A10-8770E,826
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824
Radeon HD 3850 X2,822
Radeon HD 7540D + 7500 Dual,821
Radeon R7 A8-7680,821
Radeon HD 7670,819
Radeon HD 8550G + HD 8750M Dual,819
Radeon HD 8650G + HD 7600M Dual,819
GeForce GT 730M,816
Radeon R7 A10 Extreme Edition,816
Radeon R7 M260DX,816
Radeon R9 M280X,813
GeForce GT 445M,811
Radeon HD 8670D + 7000 Dual,811
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",809
Radeon R7 PRO A10-9700,805
Radeon HD 8550G + 8600/8700M Dual,802
Radeon R5 M435,801
Radeon HD 5670,800
Radeon Ryzen 3 3250U,800
Radeon HD 8650G + HD 8790M Dual,799
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",799
Quadro FX 3800,798
Radeon HD 6800M,798
GeForce 9800 GX2,797
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796
Radeon R8 M445DX,796
GRID M10-0Q,795
Radeon HD 8550G + 8750M Dual,795
GeForce GT 740M,790
Radeon 535DX,788
Radeon R7 A8-7600,788
Radeon HD 8650G + 8750M Dual,786
GeForce 825M,783
Quadro K1000M,783
Radeon R7 A10-7700K,782
Quadro 2000M,781
Radeon R7 A365,781
Radeon R7 PRO A6-9500 2C+6G,781
Radeon HD 7660G + HD 7700M Dual,777
Radeon HD 7640G + 7500M/7600M Dual,775
Mobility Radeon HD 5000,773
Radeon HD 7600M + 7600M Dual,773
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773
Radeon R7 A10-8850,773
GeForce 730A,771
GeForce GT 440,771
Radeon R7 M365X,771
Radeon Vega 3 Ryzen Embedded R1505G,771
Radeon R5 PRO A6-9500E 2C+4G,770
GeForce 9800 GTX,769
Radeon HD 4810,769
Radeon R7 PRO A10-8750B,767
Radeon R7 M270,766
Mobility Radeon HD 5850,763
Radeon HD 8650G + HD 8600/8700M Dual,763
Radeon HD 6450 + 8470D Dual,762
Radeon HD 7660G + HD 7500/7600 Dual,760
Radeon HD 7660G + HD 8500M Dual,758
Radeon Athlon Gold 3150U,757
Radeon HD 7660G + 7700M Dual,757
Radeon HD 8650G + HD 8600M N HD 8600M Dual,757
Quadro 1100M,755
Radeon HD 7730M,755
Radeon HD 8730M,755
Radeon HD 7640G + 7450M Dual,754
Radeon HD 8570D + HD 7000 Dual,753
Quadro K420,752
Radeon HD 6650M,751
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",750
IncrediblE HD 4600,749
Radeon M535DX,749
Qualcomm Adreno 7c Gen 3 GPU,748
Radeon HD 7640G + 7650M Dual,747
Radeon HD 7660G + HD 8600/8700M Dual,747
Radeon HD 8670D + R5 330 Dual,746
Radeon HD 7660G + 7610M Dual,745
Quadro K600,743
Radeon HD 7660G + 7670M Dual,743
Radeon R5 235 + HD 7560D Dual,743
GeForce GT 730A,742
Intel Iris 5100,742
Intel UHD Graphics 615,741
Radeon HD 8650G + 7600M Dual,741
Radeon R7 A8-7650K,741
Radeon R7 A12-9700P RADEON,740
Radeon R7 FX-9800P RADEON,740
GeForce GT 340,738
Intel Poison Ivy,738
Radeon HD 7670M + 7670M Dual,738
Radeon R5 235 + HD 8570D Dual,737
Radeon HD 6670,731
Radeon R5 A10-9620P 4C+6G,731
Radeon R7 A12-9720P RADEON,730
Radeon HD 7550M/7650M,728
GRID K140Q,727
"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",726
GeForce 920M,724
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722
Radeon HD 8650G + R5 M200 Dual,722
Intel HD 615,721
Radeon R7 PRO A8-8650B,721
Asus GTX 650 FML II EC-EGPU,720
Mobility Radeon HD 4870,719
Quadro K610M,719
Radeon HD 7540D + 6570 Dual,719
Intel UHD Graphics 610,718
Radeon HD 8670D + HD 7000 Dual,718
Radeon HD 8470D + 6450 Dual,717
Radeon HD 8650G + HD 8570M Dual,716
Radeon Vega 3 Athlon 320GE,714
Radeon R7 A10-7800,712
Radeon HD 7660G + HD 8670M Dual,711
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",710
Radeon HD 3870 X2,708
Radeon HD 6550A,707
Radeon HD 7660G + HD 7670M Dual,706
GRID M10-0B,705
Radeon HD 7640G + 7600M Dual,705
NVS 510,704
Radeon HD 7640G + HD 7600M Dual,704
Radeon HD 7660G N HD 7660G + HD 7670M Dual,704
Radeon R7 PRO A12-9800B,702
Radeon HD 7570M/HD 7670M,699
TRINITY DEVASTATOR MOBILE,699
Radeon R5 A6-7480,698
Radeon R5 PRO A10-8730B 4C+6G,695
Radeon R5 PRO A6-9500B 2C+4G,693
Intel HD 610,692
Radeon HD 7640G + 7700M Dual,690
Radeon R5 PRO A6-8530B 2C+4G,689
Radeon HD 7640G + 8600/8700M Dual,688
Qualcomm Adreno 680 GPU,687
Radeon HD 8650G + R5 M230 Dual,686
GeForce GT 640M LE,685
Radeon HD 6630M,684
Radeon Athlon Silver 3050U,682
GeForce GT 630,681
GRID P40-3Q,681
Radeon HD 7640G N HD 7640G + HD 7670M Dual,679
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679
GeForce GTS 160M,678
Radeon HD 7640G + HD 8670M Dual,677
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",677
Quadro FX 4700 X2,676
Radeon HD 8610G + R5 M200 Dual,676
Radeon R7 A8 PRO-7600B,670
Radeon R8 M535DX,670
GeForce GT 530,669
Radeon R7 PRO A10-9700B,669
GeForce GT 740A,667
FirePro M7740,665
Radeon HD 7640G + HD 8500M N HD 8500M Dual,665
Radeon HD 8550G + 8690M Dual,664
Radeon R7 M340,663
FireGL V7700,660
GeForce GT 555M,660
Radeon HD 2900 XT,659
Radeon R5 PRO A8-9600B 4C+6G,658
GeForce GT 140,657
Radeon HD 7640G + 8750M Dual,654
Radeon HD 8550G + HD 8600/8700M Dual,654
Radeon HD 8650G + 8570M Dual,654
GeForce GTS 360M,651
Radeon HD 7520G + HD 8750M Dual,651
Radeon HD 8650G + HD 8750M Dual,651
GeForce GTX 285M,650
GRID K1,650
SUMO 9640,650
FirePro V3900,649
Radeon R5 M430,648
FireStream 9170,647
Radeon HD 5600/5700,646
Radeon HD 6670 + 6670 Dual,646
Radeon HD 8610G + HD 8500M Dual,645
Radeon HD 7640G + 7670M Dual,644
Radeon HD 7540D + HD 6450 Dual,643
GeForce 8800 Ultra,642
Quadro K510M,641
Radeon HD 7640G + 7400M Dual,637
Radeon HD 8450G + 8750M Dual,637
Radeon R5 PRO A6-8570E 2C+4G,637
GeForce 9800 S,635
GeForce GT 735M,635
Radeon HD 8650G + 8670M Dual,635
Intel HD P4600/P4700,634
Radeon HD 8650G + HD 7670M Dual,634
Radeon HD 7660D + HD 7000 Dual,633
Intel HD 515,632
Radeon HD 7610M,632
GeForce GT 710,631
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",631
Radeon HD 7640G + HD 7700M N HD 7700M Dual,630
Radeon HD 7660G + 7470M Dual,630
Intel HD 4600,629
NVS 5400M,629
Radeon HD 8510G + HD 8500M Dual,629
GRID K160Q,628
Radeon HD 2900 PRO,627
Radeon HD 7640G + 7500/7600 Dual,627
Intel HD 510,626
Radeon HD 8650G + 8500M Dual,626
Radeon HD 7520G + HD 8600/8700M Dual,623
GeForce 810A,622
Radeon HD 7640G + HD 7400M Dual,621
Radeon HD 8570 + 8670D Dual,620
Radeon HD 8550G + R5 M200 Dual,619
Radeon R5 A10-9600P 4C+6G,619
Radeon R7 A360,619
Radeon R6,618
Radeon HD 8550G + 8600M Dual,617
Radeon HD 7500G + 7500M/7600M Dual,616
Radeon HD 7570,616
FireGL V7600,615
GeForce 720A,614
Radeon HD 8650G + 8600M Dual,613
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,611
7900 MOD - Radeon HD 6520G,610
Radeon HD 8610G + 8500M Dual,610
GeForce 9800 GTX/9800 GTX+,608
GeForce GT 720,608
Radeon HD 7640G + HD 8500M Dual,607
Radeon HD 8650G + HD 8600M Dual,606
Quadro FX 3800M,605
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605
Radeon R6 M255DX,605
Intel HD P4600,604
GeForce GT 430,602
GeForce GTS 250,602
Radeon HD 8550G + 8500M Dual,602
Radeon HD 8610G + 8670M Dual,599
Matrox C420 LP PCIe x16,597
Radeon R7 PRO A12-8800B,597
Radeon HD 8510G + 8500M Dual,596
Radeon HD 7640G + 7470M Dual,595
Radeon R5 M330,595
Qualcomm Adreno 7c+ Gen 3,594
Radeon Vega 3 Athlon Gold 3150U,594
Radeon HD 8550G + HD 8600M Dual,593
Radeon R7 PRO A12-8830B,593
Surface Duo Adreno 640 GPU,592
GeForce 910M,591
Radeon HD 7520G + 7600M Dual,591
GeForce 8800 GTX,590
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",590
Radeon R8 M365DX,590
Radeon Vega 3 3020e,590
Radeon HD 7640G + HD 7700M Dual,589
Radeon HD 7520G + 7610M Dual,588
Radeon HD 7660G + 7400M Dual,588
Radeon HD 8610G + 8600M Dual,588
Intel HD 5500,587
Radeon HD 7660G + 8670M Dual,587
Radeon HD 7640G + HD 8600/8700M Dual,586
Radeon R5 A6-8500P,586
Radeon HD 7640G + 8500M Dual,585
Radeon HD 8650G + HD 8670M Dual,585
Radeon HD 7520G + 7500/7600 Dual,582
GeForce GT 720A,581
GeForce GT 550M,580
Radeon HD 8550G + 8670M Dual,579
Radeon HD 8450G + R5 M230 Dual,578
Intel HD 5000,577
Radeon HD 7620G + 8670M Dual,577
Radeon HD 8610G + HD 8670M Dual,577
GeForce GT 820M,576
Intel Skylake HD DT GT2,576
Radeon R5 A240,576
GeForce 8800 GTS 512,575
GeForce GTX 280M,575
Radeon HD 7520G + HD 7700M Dual,574
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,574
Radeon R5 420,574
Radeon HD 7650A,572
Quadro 1000M,570
Quadro 500M,570
Radeon R6 + R7 M265DX Dual,570
Radeon R7 M360,570
Radeon HD 7560D + 6450 Dual,568
Radeon HD 8550D,566
Radeon HD 6610M,565
Radeon R7E,564
GeForce GT 635M,563
Radeon HD 7560D + R5 235 Dual,563
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",562
Radeon HD 7640G + R5 M200 Dual,559
Radeon HD 7640G + 8570M Dual,558
Radeon HD 7640G + 8670M Dual,558
Radeon HD 8550G + HD 8500M Dual,558
GeForce GTS 240,556
Radeon HD 6570,556
GeForce 820A,555
Radeon Athlon PRO 3045B,555
Radeon HD 3870,555
GeForce 9800M GS,554
GF117,554
GeForce GTS 250M,553
Radeon R7 M265,553
Radeon Vega 3 Athlon Silver 3050e,552
Radeon R7 7850A10-7850K,551
FireGL V8650,550
Radeon R5 M335,548
Mobility Radeon HD 3870,547
FirePro 3D V5700,546
Radeon HD 8550G + HD 8670M Dual,546
FirePro 3D V7750,545
GeForce 615,545
Radeon HD 8450G + 8600M Dual,545
Radeon HD 7520G + HD 7400M Dual,544
Quadro FX 2700,543
Radeon HD 7600G + HD 8670M Dual,543
Radeon HD 7520G + 7470M Dual,542
GeForce GT 630M,540
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",540
GeForce GT 435M,539
Qualcomm Adreno 675 GPU,539
Mobility Radeon HD 5570,538
Radeon R6 PRO A10-8700B 4C+6G,538
Quadro 600,534
Radeon HD 7560D + HD 7000 Dual,534
Radeon R5 240,534
GRID K180Q,533
Radeon R5 M255,533
Radeon HD 8550G + 8570M Dual,532
Radeon R6 A10-8700P,532
Radeon HD 8650G,531
RADEON HD6530D,531
Radeon R6 PRO A8-8600B 4C+6G,531
Radeon HD 8550G + HD 8570M Dual,529
Radeon HD 8670D,529
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526
Radeon HD 7640G + 6400M Dual,526
Quadro FX 5600,525
GeForce GT 425M,523
Radeon HD 7520G + 7670M Dual,523
Radeon HD 7660D + R5 235 Dual,523
Radeon HD 7660G + HD 7600M Dual,523
Radeon 6600M,521
Intel HD 4400,520
Radeon HD 8670M,520
Radeon R5 330,520
Radeon HD 7640G + HD 7670M Dual,518
IncrediblE HD 4000,517
Intel HD P4000,516
NVS 5200M,515
GeForce GT 240,512
Mobility Radeon HD 4830,511
Radeon HD 7640G + 7610M Dual,510
Radeon HD 7600G + HD 7550M Dual,509
Radeon HD 7620G + 8600M Dual,508
Radeon R5 PRO A6-8500B 2C+4G,508
Radeon HD 7620G + HD 8670M Dual,507
GeForce 9800 GTX+,506
Radeon Vega 2,506
GeForce GTS 150M,504
Radeon HD 7660D,504
Radeon HD 8450G + HD 8750M Dual,503
GeForce 820M,502
Radeon R5 M420,500
Mobility Radeon HD 5730,499
Radeon R7 M265DX,498
TRINITY SCRAPPER MOBILE,498
Radeon HD 7500G + 7550M Dual,497
SUMO 964A,497
ASUS EAH4870x2,496
Radeon HD 7520G + HD 7670M Dual,495
Radeon R7 M260,495
Radeon HD 8690A,492
Radeon HD8530M,490
GeForce 9600 GT,489
Radeon HD 8670D N HD 8670D + HD 8670D Dual,488
GeForce 8800 GT,487
Radeon HD 8550G + R5 M230 Dual,487
Radeon R4E,487
Radeon HD 7520G + 7400M Dual,486
Radeon HD 5570,483
GeForce GT 540M,481
Radeon HD 8610G + HD 8600M Dual,480
Mobility Radeon HD 5000 Serisi,478
Mobility Radeon HD 3870 X2,477
Radeon HD 8450G + HD 8670M Dual,477
GeForce 800A,476
Radeon HD 7600G + HD 7500M/7600M Dual,476
GeForce 710A,475
Radeon HD 7660G,475
Radeon HD 7640G + HD 8570M Dual,474
Radeon HD 7670M,474
Radeon HD 8450G + 8670M Dual,474
Radeon R6 A8-8600P,474
Radeon R5 M315,473
FirePro 3D V3800,472
"Radeon R5 PRO A6-8500B R5, 6 Compute Cores 2C+4G",472
Radeon HD 8570D + R5 235 Dual,470
Radeon 3020e,468
Quadro FX 1800M,466
Quadro FX 3600M,466
GeForce GT 625M,465
Radeon HD 7660D + 7470 Dual,465
SUMO 9644,465
FirePro V5700,464
GeForce 9800 GT,464
GeForce GT 320,464
Radeon HD 7550M,464
GeForce GT 720M,463
Mobility Radeon HD 4670,463
GeForce 710M,462
GeForce 8800M GTX,462
Radeon HD 7560D,460
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460
GeForce GT 525M,459
Intel HD Family,459
Radeon HD 7640G,458
GeForce 800M,457
GeForce GT625M,457
Quadro FX 3700M,456
GeForce 705M,455
GeForce 9800M GTX,454
Radeon HD 7520G + 7650M Dual,453
Radeon HD 8450G + HD 8600M Dual,452
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,451
Mobility Radeon HD 5650,448
Radeon HD 7520G + HD 7600M Dual,447
PHDGD Ivy 5,445
Radeon HD 7660G + 8600M Dual,445
GeForce GT 710M,444
Radeon HD 7620G + HD 8600M Dual,442
Radeon HD 7650M,442
Quadro 410,441
Radeon R5 M320,439
Radeon HD 8570D,438
Radeon HD 8570M,437
GeForce GT 620M,436
Radeon HD 7600G + HD Dual,435
Radeon HD 8410G,435
Radeon HD 3850 AGP,432
Quadro FX 4600,430
Radeon HD 7570M,430
Radeon HD 8610G,425
FirePro M2000,424
Radeon R5 M240,424
GeForce GT 420,423
